"X1","X2","n","Sample_real","quantile_99_9","real_n"
452,"tetB43",25,"aaiC47_1",186.174284143104,NA
452,"aac3VI23",31,"aaiC47_1",43.3275644759138,NA
452,"gadph195",20,"aaiC47_1",105.058327370762,NA
452,"dfrA1",12,"aaiC47_1",171.576934043566,NA
452,"eltA73",16,"aaiC47_1",100.946481015484,NA
452,"mcr64",6,"aaiC47_1",89.7884189932358,NA
452,"stx23291",10,"aaiC47_1",78.4426543581793,NA
452,"yjaA12",19,"aaiC47_1",194.115628268021,NA
452,"astA13",4,"aaiC47_1",10.8982949359371,NA
452,"ipaH321",10,"aaiC47_1",21.2616862461866,NA
452,"qnrS1",1,"aaiC47_1",7.41224995740564,NA
452,"trpA354",27,"aaiC47_1",134.062059371692,NA
452,"chuA24",20,"aaiC47_1",120.880769045547,NA
452,"aac6I6",3,"aaiC47_1",24.2770971057034,NA
452,"aggR11",2,"aaiC47_1",41.2496354721484,NA
452,"mphA18",3,"aaiC47_1",17.0702477702863,NA
452,"Tsp19",6,"aaiC47_1",21.8678047948649,NA
452,"eae111",4,"aaiC47_1",23.7304952007239,NA
452,"stx11581",6,"aaiC47_1",41.8241822416477,NA
452,"uidA616",7,"aaiC47_1",51.0816207588305,NA
452,"estIa94",1,"aaiC47_1",7.15894419987053,NA
452,"stx2181",1,"aaiC47_1",28.4620161784287,NA
452,"ermB1",1,"aaiC47_1",9.18421024727134,NA
452,"tetM34",1,"aaiC47_1",19.905700783891,NA
453,"dfrA15",7229,"aaiC47_2",45044.3140768821,NA
453,"aaiC47",5447,"aaiC47_2",13.6202465566286,5433.37975344337
453,"qnrB7",1034,"aaiC47_2",3932.28470087176,NA
453,"dfrA369",768,"aaiC47_2",8679.36043701556,NA
453,"aph6I29",500,"aaiC47_2",1564.71149082057,NA
453,"dfrA243",585,"aaiC47_2",3059.13029908572,NA
453,"ipaH921",192,"aaiC47_2",892.457127114583,NA
453,"tetA13",103,"aaiC47_2",179.496739852089,NA
453,"bfpA82",187,"aaiC47_2",1344.94106231646,NA
453,"dfrA58",186,"aaiC47_2",570.011106605434,NA
453,"invE132",202,"aaiC47_2",1873.07522286973,NA
453,"mcr28",339,"aaiC47_2",3302.48592248652,NA
453,"tetB43",32,"aaiC47_2",186.174284143104,NA
453,"eae6271",34,"aaiC47_2",513.949347429163,NA
453,"sul336",79,"aaiC47_2",651.156032356883,NA
453,"eltA73",14,"aaiC47_2",100.946481015484,NA
453,"sul22",18,"aaiC47_2",234.331413109493,NA
453,"ant2Ia1",49,"aaiC47_2",225.708178159779,NA
453,"sul15",107,"aaiC47_2",406.852140513735,NA
453,"gadph195",11,"aaiC47_2",105.058327370762,NA
453,"chuA24",20,"aaiC47_2",120.880769045547,NA
453,"stx1301",45,"aaiC47_2",383.16671651034,NA
453,"trpA354",22,"aaiC47_2",134.062059371692,NA
453,"dfrA1",17,"aaiC47_2",171.576934043566,NA
453,"stx23291",11,"aaiC47_2",78.4426543581793,NA
453,"aac3VI23",28,"aaiC47_2",43.3275644759138,NA
453,"mcr64",7,"aaiC47_2",89.7884189932358,NA
453,"yjaA12",23,"aaiC47_2",194.115628268021,NA
453,"stx11581",4,"aaiC47_2",41.8241822416477,NA
453,"aaiC17",3,"aaiC47_2",20.0162425863696,NA
453,"aadA57",7,"aaiC47_2",23.5136927375065,NA
453,"aadA1",1,"aaiC47_2",14.1571352863536,NA
453,"Tsp19",4,"aaiC47_2",21.8678047948649,NA
453,"uidA616",7,"aaiC47_2",51.0816207588305,NA
453,"aac6I6",5,"aaiC47_2",24.2770971057034,NA
453,"stx2181",4,"aaiC47_2",28.4620161784287,NA
453,"mphA18",2,"aaiC47_2",17.0702477702863,NA
453,"aap223",1,"aaiC47_2",2.87320121980796,NA
453,"astA13",1,"aaiC47_2",10.8982949359371,NA
453,"eae111",1,"aaiC47_2",23.7304952007239,NA
453,"aac3II63",1,"aaiC47_2",3.768131939875,NA
453,"bfpF56",1,"aaiC47_2",2.97627866533694,NA
453,"ipaH321",2,"aaiC47_2",21.2616862461866,NA
453,"tetM34",1,"aaiC47_2",19.905700783891,NA
453,"estIa94",1,"aaiC47_2",7.15894419987053,NA
454,"dfrA15",4287,"K_oxytoca_1",45044.3140768821,NA
454,"stx1301",22,"K_oxytoca_1",383.16671651034,NA
454,"aph6I29",362,"K_oxytoca_1",1564.71149082057,NA
454,"qnrB7",486,"K_oxytoca_1",3932.28470087176,NA
454,"ipaH921",122,"K_oxytoca_1",892.457127114583,NA
454,"aadA57",5,"K_oxytoca_1",23.5136927375065,NA
454,"gadph195",168,"K_oxytoca_1",105.058327370762,62.9416726292383
454,"invE132",70,"K_oxytoca_1",1873.07522286973,NA
454,"tetA13",52,"K_oxytoca_1",179.496739852089,NA
454,"dfrA243",267,"K_oxytoca_1",3059.13029908572,NA
454,"mcr28",45,"K_oxytoca_1",3302.48592248652,NA
454,"bfpA82",115,"K_oxytoca_1",1344.94106231646,NA
454,"dfrA369",120,"K_oxytoca_1",8679.36043701556,NA
454,"yjaA12",7,"K_oxytoca_1",194.115628268021,NA
454,"dfrA58",128,"K_oxytoca_1",570.011106605434,NA
454,"eae6271",31,"K_oxytoca_1",513.949347429163,NA
454,"sul15",76,"K_oxytoca_1",406.852140513735,NA
454,"sul22",11,"K_oxytoca_1",234.331413109493,NA
454,"sul336",52,"K_oxytoca_1",651.156032356883,NA
454,"aac6I6",2,"K_oxytoca_1",24.2770971057034,NA
454,"tetB43",12,"K_oxytoca_1",186.174284143104,NA
454,"stx11581",2,"K_oxytoca_1",41.8241822416477,NA
454,"dfrA1",4,"K_oxytoca_1",171.576934043566,NA
454,"trpA354",14,"K_oxytoca_1",134.062059371692,NA
454,"stx23291",8,"K_oxytoca_1",78.4426543581793,NA
454,"uidA616",7,"K_oxytoca_1",51.0816207588305,NA
454,"ipaH321",3,"K_oxytoca_1",21.2616862461866,NA
454,"aac3VI23",8,"K_oxytoca_1",43.3275644759138,NA
454,"chuA24",15,"K_oxytoca_1",120.880769045547,NA
454,"ant2Ia1",26,"K_oxytoca_1",225.708178159779,NA
454,"aac3II63",2,"K_oxytoca_1",3.768131939875,NA
454,"arpA19",1,"K_oxytoca_1",7.89715486823765,NA
454,"stx2181",3,"K_oxytoca_1",28.4620161784287,NA
454,"eltA73",6,"K_oxytoca_1",100.946481015484,NA
454,"Tsp19",1,"K_oxytoca_1",21.8678047948649,NA
454,"astA13",1,"K_oxytoca_1",10.8982949359371,NA
454,"aaiC17",1,"K_oxytoca_1",20.0162425863696,NA
454,"aadA1",1,"K_oxytoca_1",14.1571352863536,NA
454,"mphA18",2,"K_oxytoca_1",17.0702477702863,NA
454,"eae111",1,"K_oxytoca_1",23.7304952007239,NA
454,"bfpF56",1,"K_oxytoca_1",2.97627866533694,NA
454,"mcr64",1,"K_oxytoca_1",89.7884189932358,NA
455,"aadA57",15,"K_oxytoca_2",23.5136927375065,NA
455,"dfrA15",6205,"K_oxytoca_2",45044.3140768821,NA
455,"mcr28",64,"K_oxytoca_2",3302.48592248652,NA
455,"bfpA82",159,"K_oxytoca_2",1344.94106231646,NA
455,"aph6I29",548,"K_oxytoca_2",1564.71149082057,NA
455,"qnrB7",734,"K_oxytoca_2",3932.28470087176,NA
455,"dfrA58",154,"K_oxytoca_2",570.011106605434,NA
455,"ipaH921",188,"K_oxytoca_2",892.457127114583,NA
455,"tetA13",81,"K_oxytoca_2",179.496739852089,NA
455,"stx1301",33,"K_oxytoca_2",383.16671651034,NA
455,"dfrA243",414,"K_oxytoca_2",3059.13029908572,NA
455,"eae6271",29,"K_oxytoca_2",513.949347429163,NA
455,"stx23291",5,"K_oxytoca_2",78.4426543581793,NA
455,"sul15",112,"K_oxytoca_2",406.852140513735,NA
455,"sul22",25,"K_oxytoca_2",234.331413109493,NA
455,"dfrA369",151,"K_oxytoca_2",8679.36043701556,NA
455,"yjaA12",20,"K_oxytoca_2",194.115628268021,NA
455,"invE132",107,"K_oxytoca_2",1873.07522286973,NA
455,"Tsp19",9,"K_oxytoca_2",21.8678047948649,NA
455,"sul336",55,"K_oxytoca_2",651.156032356883,NA
455,"ant2Ia1",43,"K_oxytoca_2",225.708178159779,NA
455,"tetB43",18,"K_oxytoca_2",186.174284143104,NA
455,"trpA354",9,"K_oxytoca_2",134.062059371692,NA
455,"gadph195",188,"K_oxytoca_2",105.058327370762,82.9416726292383
455,"ipaH321",2,"K_oxytoca_2",21.2616862461866,NA
455,"aac6I6",4,"K_oxytoca_2",24.2770971057034,NA
455,"eltA73",26,"K_oxytoca_2",100.946481015484,NA
455,"chuA24",21,"K_oxytoca_2",120.880769045547,NA
455,"uidA616",10,"K_oxytoca_2",51.0816207588305,NA
455,"aac3VI23",16,"K_oxytoca_2",43.3275644759138,NA
455,"aap223",2,"K_oxytoca_2",2.87320121980796,NA
455,"dfrA1",2,"K_oxytoca_2",171.576934043566,NA
455,"mphA18",2,"K_oxytoca_2",17.0702477702863,NA
455,"aac6I123",1,"K_oxytoca_2",11.3437589734004,NA
455,"mcr64",3,"K_oxytoca_2",89.7884189932358,NA
455,"aadA1",5,"K_oxytoca_2",14.1571352863536,NA
455,"aac3II63",3,"K_oxytoca_2",3.768131939875,NA
455,"eae111",1,"K_oxytoca_2",23.7304952007239,NA
455,"stx11581",1,"K_oxytoca_2",41.8241822416477,NA
455,"stx2181",1,"K_oxytoca_2",28.4620161784287,NA
456,"sul22",1600,"S_enterica_1",234.331413109493,1365.66858689051
456,"dfrA15",6672,"S_enterica_1",45044.3140768821,NA
456,"aph6I29",5098,"S_enterica_1",1564.71149082057,3533.28850917943
456,"ipaH921",201,"S_enterica_1",892.457127114583,NA
456,"qnrB7",747,"S_enterica_1",3932.28470087176,NA
456,"sul336",66,"S_enterica_1",651.156032356883,NA
456,"dfrA369",160,"S_enterica_1",8679.36043701556,NA
456,"sul15",143,"S_enterica_1",406.852140513735,NA
456,"stx1301",38,"S_enterica_1",383.16671651034,NA
456,"ant2Ia1",43,"S_enterica_1",225.708178159779,NA
456,"invE132",243,"S_enterica_1",1873.07522286973,NA
456,"mcr28",41,"S_enterica_1",3302.48592248652,NA
456,"yjaA12",21,"S_enterica_1",194.115628268021,NA
456,"dfrA243",354,"S_enterica_1",3059.13029908572,NA
456,"dfrA58",143,"S_enterica_1",570.011106605434,NA
456,"bfpA82",127,"S_enterica_1",1344.94106231646,NA
456,"eae6271",23,"S_enterica_1",513.949347429163,NA
456,"trpA354",15,"S_enterica_1",134.062059371692,NA
456,"aadA57",4,"S_enterica_1",23.5136927375065,NA
456,"aac3VI23",23,"S_enterica_1",43.3275644759138,NA
456,"tetA13",96,"S_enterica_1",179.496739852089,NA
456,"chuA24",15,"S_enterica_1",120.880769045547,NA
456,"stx23291",9,"S_enterica_1",78.4426543581793,NA
456,"tetB43",22,"S_enterica_1",186.174284143104,NA
456,"ipaH321",3,"S_enterica_1",21.2616862461866,NA
456,"estIa1515",1,"S_enterica_1",4.64619414520943,NA
456,"gadph195",19,"S_enterica_1",105.058327370762,NA
