X2,n,Sample_real,quantile_99_9,real_n,wgs
intI125,17,62_2,NA,17,n
aac3VI23,17,66_2,81.70276707,NA,t
sul22,17,69_2,76.6369623,NA,t
chuA24,17,zSet2Negative_7,89.39378987,NA,t
chuA24,17,zaggR_1,89.39378987,NA,t
gadph195,17,zaggR_1,51.83009619,NA,t
eltA73,17,zSet2Negative_8,36.22578755,NA,t
aadA57,17,70_2,23.95903573,NA,f
trpA354,17,zaaiC47_1,75.21494574,NA,t
chuA24,17,zaaiC47_2,89.39378987,NA,t
uidA616,16,48_1,50.19796756,NA,f
intI125,16,50_1,NA,16,y
eltA73,16,51_1,36.22578755,NA,t
eltA73,16,53_1,36.22578755,NA,t
sul22,16,56_1,76.6369623,NA,t
gadph195,16,62_1,51.83009619,NA,t
uidA160,16,65_1,3.925389628,12.07461037,n
aac3VI23,16,68_1,81.70276707,NA,t
yjaA12,16,70_1,75.05504254,NA,t
stx1301,16,72_1,122.8886781,NA,t
tetB43,16,75_1,79.58461952,NA,t
aac3VI23,16,75_1,81.70276707,NA,t
mcr28,16,76_1,675.2577858,NA,t
stx1301,16,77_1,122.8886781,NA,t
gadph195,16,49_2,51.83009619,NA,t
chuA24,16,49_2,89.39378987,NA,t
aadA1,16,50_2,5.729389182,10.27061082,y
dfrA1,16,zSet2Negative_5,37.39168884,NA,t
stx23291,16,zSet2Negative_5,37.0917137,NA,t
eae6271,16,56_2,131.5009299,NA,t
trpA354,16,zSet2Negative_7,75.21494574,NA,t
eltA73,16,75_2,36.22578755,NA,t
stx1301,16,70_2,122.8886781,NA,t
trpA354,16,zaggR_2,75.21494574,NA,t
aadA1,15,50_1,5.729389182,9.270610818,y
gadph195,15,56_1,51.83009619,NA,t
gadph195,15,58_1,51.83009619,NA,t
sul22,15,58_1,76.6369623,NA,t
eltA73,15,zSet2Negative_2,36.22578755,NA,t
stx23291,15,66_1,37.0917137,NA,t
gadph195,15,66_1,51.83009619,NA,t
stx23291,15,68_1,37.0917137,NA,t
gadph195,15,68_1,51.83009619,NA,t
eae6271,15,73_1,131.5009299,NA,t
eae6271,15,76_1,131.5009299,NA,t
ant2Ia1,15,77_1,171.2816378,NA,t
sul22,15,49_2,76.6369623,NA,t
eltA73,15,57_2,36.22578755,NA,t
aac3VI23,15,60_2,81.70276707,NA,t
mcr28,15,61_2,675.2577858,NA,t
sul22,15,zSet2Negative_6,76.6369623,NA,t
aac3VI23,15,zSet2Negative_6,81.70276707,NA,t
tetB43,15,62_2,79.58461952,NA,t
ant2Ia1,15,63_2,171.2816378,NA,t
tetB43,15,64_2,79.58461952,NA,t
aac3VI23,15,69_2,81.70276707,NA,t
yjaA12,15,zSet2Negative_7,75.05504254,NA,t
eltA73,15,72_2,36.22578755,NA,t
sul22,15,73_2,76.6369623,NA,t
aadA57,15,zSet2Negative_8,23.95903573,NA,t
dfrA1,15,zSet2Negative_8,37.39168884,NA,t
ant2Ia1,15,70_2,171.2816378,NA,t
chuA24,15,zaggR_2,89.39378987,NA,t
invE132,14,48_1,407.4515262,NA,t
stx23291,14,58_1,37.0917137,NA,t
aac3VI23,14,60_1,81.70276707,NA,t
stx23291,14,63_1,37.0917137,NA,t
eae6271,14,75_1,131.5009299,NA,t
mcr28,14,48_2,675.2577858,NA,t
intI125,14,50_2,NA,14,y
yjaA12,14,53_2,75.05504254,NA,t
stx23291,14,53_2,37.0917137,NA,t
stx23291,14,54_2,37.0917137,NA,t
eae6271,14,59_2,131.5009299,NA,t
eae6271,14,60_2,131.5009299,NA,t
gadph195,14,60_2,51.83009619,NA,t
stx1301,14,61_2,122.8886781,NA,t
mcr28,14,64_2,675.2577858,NA,t
stx1301,14,66_2,122.8886781,NA,t
yjaA12,14,66_2,75.05504254,NA,t
uidA160,14,68_2,3.925389628,10.07461037,y
gadph195,14,68_2,51.83009619,NA,t
qnrS1,14,69_2,3.06294049,10.93705951,y
stx23291,14,77_2,37.0917137,NA,t
gadph195,14,zaaiC47_2,51.83009619,NA,t
tetA13,13,48_1,304.9082996,NA,t
eltA73,13,49_1,36.22578755,NA,t
aadA57,13,50_1,23.95903573,NA,t
stx23291,13,53_1,37.0917137,NA,t
stx23291,13,54_1,37.0917137,NA,t
stx23291,13,59_1,37.0917137,NA,t
aadA57,13,61_1,23.95903573,NA,t
eltA73,13,62_1,36.22578755,NA,t
aac6I123,13,62_1,3.769729822,9.230270178,y
ipaH321,13,69_1,17.75498553,NA,t
eae6271,13,77_1,131.5009299,NA,t
stx1301,13,49_2,122.8886781,NA,t
gadph195,13,56_2,51.83009619,NA,t
stx1301,13,59_2,122.8886781,NA,t
mcr28,13,59_2,675.2577858,NA,t
aac3VI23,13,61_2,81.70276707,NA,t
ant2Ia1,13,61_2,171.2816378,NA,t
trpA354,13,zSet2Negative_6,75.21494574,NA,t
sul22,13,65_2,76.6369623,NA,t
stx23291,13,71_2,37.0917137,NA,t
aac3VI23,13,71_2,81.70276707,NA,t
gadph195,13,73_2,51.83009619,NA,t
yjaA12,13,77_2,75.05504254,NA,t
trpA354,13,zaaiC47_2,75.21494574,NA,t
stx23291,12,50_1,37.0917137,NA,t
sul22,12,55_1,76.6369623,NA,t
eae6271,12,55_1,131.5009299,NA,t
ant2Ia1,12,55_1,171.2816378,NA,t
ipaH321,12,57_1,17.75498553,NA,t
eltA73,12,58_1,36.22578755,NA,t
Tsp19,12,61_1,20.14329318,NA,t
mphA18,12,zSet2Negative_2,23.02436054,NA,t
aac6I6,12,zSet2Negative_2,21.79552529,NA,t
ipaH321,12,63_1,17.75498553,NA,t
ipaH321,12,66_1,17.75498553,NA,t
eltA73,12,66_1,36.22578755,NA,t
eltA73,12,68_1,36.22578755,NA,t
aadA57,12,69_1,23.95903573,NA,t
ant2Ia1,12,zSet2Negative_3,171.2816378,NA,t
chuA24,12,zSet2Negative_3,89.39378987,NA,t
aac6I123,12,70_1,3.769729822,8.230270178,y
gadph195,12,71_1,51.83009619,NA,t
gadph195,12,73_1,51.83009619,NA,t
gadph195,12,76_1,51.83009619,NA,t
tetB43,12,77_1,79.58461952,NA,t
ant2Ia1,12,48_2,171.2816378,NA,t
eltA73,12,50_2,36.22578755,NA,t
eltA73,12,51_2,36.22578755,NA,t
eae6271,12,54_2,131.5009299,NA,t
stx23291,12,55_2,37.0917137,NA,t
gadph195,12,58_2,51.83009619,NA,t
tetB43,12,60_2,79.58461952,NA,t
sul22,12,60_2,76.6369623,NA,f
eae6271,12,61_2,131.5009299,NA,t
gadph195,12,zSet2Negative_6,51.83009619,NA,t
qnrS1,12,63_2,3.06294049,8.93705951,n
gadph195,12,65_2,51.83009619,NA,t
dfrA1,12,zSet2Negative_7,37.39168884,NA,t
eltA73,12,zaggR_1,36.22578755,NA,t
stx23291,12,zaggR_1,37.0917137,NA,t
eltA73,12,71_2,36.22578755,NA,t
yjaA12,12,71_2,75.05504254,NA,t
aac3VI23,12,73_2,81.70276707,NA,t
ipaH321,12,76_2,17.75498553,NA,t
chuA24,12,77_2,89.39378987,NA,t
uidA616,12,zaaiC47_1,50.19796756,NA,t
ipaH921,11,48_1,527.0207198,NA,t
ipaH321,11,49_1,17.75498553,NA,t
stx23291,11,51_1,37.0917137,NA,t
mphA18,11,zSet2Negative_1,23.02436054,NA,t
Tsp19,11,zSet2Negative_1,20.14329318,NA,t
ipaH321,11,61_1,17.75498553,NA,t
dfrA1,11,zSet2Negative_2,37.39168884,NA,t
aadA57,11,65_1,23.95903573,NA,t
mphA18,11,65_1,23.02436054,NA,t
Tsp19,11,66_1,20.14329318,NA,t
uidA160,11,68_1,3.925389628,7.074610372,y
ipaH321,11,68_1,17.75498553,NA,t
sul22,11,71_1,76.6369623,NA,t
eltA73,11,71_1,36.22578755,NA,t
chuA24,11,71_1,89.39378987,NA,t
tetB43,11,72_1,79.58461952,NA,t
sul22,11,73_1,76.6369623,NA,t
aac3VI23,11,73_1,81.70276707,NA,t
gadph195,11,77_1,51.83009619,NA,t
aadA57,11,zSet2Negative_4,23.95903573,NA,t
eae6271,11,48_2,131.5009299,NA,t
stx23291,11,52_2,37.0917137,NA,t
tetB43,11,59_2,79.58461952,NA,t
chuA24,11,zSet2Negative_6,89.39378987,NA,t
chuA24,11,62_2,89.39378987,NA,t
stx23291,11,65_2,37.0917137,NA,t
gadph195,11,66_2,51.83009619,NA,t
eltA73,11,69_2,36.22578755,NA,t
gadph195,11,zSet2Negative_7,51.83009619,NA,t
dfrA1,11,zaggR_1,37.39168884,NA,t
eltA73,11,73_2,36.22578755,NA,t
qnrS1,11,76_2,3.06294049,7.93705951,y
aadA57,11,77_2,23.95903573,NA,t
aac3VI23,11,70_2,81.70276707,NA,t
eae6271,11,70_2,131.5009299,NA,t
sul22,11,zaaiC47_1,76.6369623,NA,t
uidA616,11,zaaiC47_2,50.19796756,NA,t
mphA18,10,54_1,23.02436054,NA,t
aadA57,10,54_1,23.95903573,NA,t
aadA57,10,zSet2Negative_1,23.95903573,NA,t
stx23291,10,56_1,37.0917137,NA,t
ipaH321,10,58_1,17.75498553,NA,t
ipaH321,10,zSet2Negative_2,17.75498553,NA,t
stx23291,10,62_1,37.0917137,NA,t
ipaH321,10,62_1,17.75498553,NA,t
aadA57,10,66_1,23.95903573,NA,t
gadph195,10,70_1,51.83009619,NA,t
sul22,10,70_1,76.6369623,NA,t
astA13,10,55_2,15.58254854,NA,t
mcr64,10,58_2,12.80598684,NA,t
yjaA12,10,59_2,75.05504254,NA,t
ant2Ia1,10,59_2,171.2816378,NA,t
gadph195,10,61_2,51.83009619,NA,t
tetB43,10,61_2,79.58461952,NA,t
stx23291,10,zSet2Negative_6,37.0917137,NA,t
sul22,10,62_2,76.6369623,NA,t
eltA73,10,62_2,36.22578755,NA,t
stx1301,10,63_2,122.8886781,NA,t
stx1301,10,64_2,122.8886781,NA,t
eltA73,10,65_2,36.22578755,NA,t
stx23291,10,66_2,37.0917137,NA,t
stx23291,10,68_2,37.0917137,NA,t
eltA73,10,68_2,36.22578755,NA,t
eltA73,10,zSet2Negative_7,36.22578755,NA,t
eltA73,10,77_2,36.22578755,NA,t
yjaA12,10,zaggR_2,75.05504254,NA,t
uidA616,10,zaggR_2,50.19796756,NA,t
dfrA1,10,zaaiC47_1,37.39168884,NA,t
gadph195,10,zaaiC47_1,51.83009619,NA,t
dfrA1,10,zaaiC47_2,37.39168884,NA,t
yjaA12,10,zaaiC47_2,75.05504254,NA,t
Tsp19,9,49_1,20.14329318,NA,t
Tsp19,9,50_1,20.14329318,NA,t
aadA57,9,52_1,23.95903573,NA,t
mphA18,9,52_1,23.02436054,NA,t
ipaH321,9,54_1,17.75498553,NA,t
ipaH321,9,zSet2Negative_1,17.75498553,NA,t
qnrS1,9,55_1,3.06294049,5.93705951,y
chuA24,9,55_1,89.39378987,NA,t
eltA73,9,56_1,36.22578755,NA,t
aac6I6,9,69_1,21.79552529,NA,t
stx23291,9,71_1,37.0917137,NA,t
aac3VI23,9,72_1,81.70276707,NA,t
tetB43,9,73_1,79.58461952,NA,t
eltA73,9,73_1,36.22578755,NA,t
stx23291,9,77_1,37.0917137,NA,t
Tsp19,9,zSet2Negative_4,20.14329318,NA,t
dfrA1,9,zSet2Negative_4,37.39168884,NA,t
stx1301,9,48_2,122.8886781,NA,t
stx23291,9,51_2,37.0917137,NA,t
mcr64,9,51_2,12.80598684,NA,t
ipaH321,9,52_2,17.75498553,NA,t
ipaH321,9,53_2,17.75498553,NA,t
aadA57,9,54_2,23.95903573,NA,t
aadA57,9,zSet2Negative_5,23.95903573,NA,t
aac6I6,9,zSet2Negative_5,21.79552529,NA,t
sul22,9,56_2,76.6369623,NA,t
aac6I123,9,57_2,3.769729822,5.230270178,y
eltA73,9,zSet2Negative_6,36.22578755,NA,t
gadph195,9,62_2,51.83009619,NA,t
yjaA12,9,62_2,75.05504254,NA,t
eae6271,9,63_2,131.5009299,NA,t
aac3VI23,9,63_2,81.70276707,NA,t
mcr28,9,63_2,675.2577858,NA,t
tetB43,9,63_2,79.58461952,NA,t
eae6271,9,64_2,131.5009299,NA,t
aac3VI23,9,64_2,81.70276707,NA,t
ant2Ia1,9,64_2,171.2816378,NA,t
stx23291,9,zSet2Negative_7,37.0917137,NA,t
mphA18,9,72_2,23.02436054,NA,t
sul22,9,70_2,76.6369623,NA,t
tetB43,9,zaggR_2,79.58461952,NA,t
sul22,9,zaggR_2,76.6369623,NA,t
stx23291,9,zaaiC47_2,37.0917137,NA,t
sul336,8,48_1,219.4490037,NA,t
aac3II63,8,48_1,5.13804044,2.86195956,y
ipaH321,8,52_1,17.75498553,NA,t
mcr64,8,52_1,12.80598684,NA,t
tetB43,8,55_1,79.58461952,NA,t
stx1301,8,55_1,122.8886781,NA,t
ipaH321,8,56_1,17.75498553,NA,t
aadA57,8,58_1,23.95903573,NA,t
astA13,8,59_1,15.58254854,NA,t
ipaH321,8,59_1,17.75498553,NA,t
eltA73,8,60_1,36.22578755,NA,t
ipaH321,8,60_1,17.75498553,NA,t
stx23291,8,60_1,37.0917137,NA,t
aac6I6,8,61_1,21.79552529,NA,t
stx23291,8,zSet2Negative_2,37.0917137,NA,t
astA13,8,64_1,15.58254854,NA,t
aac6I6,8,66_1,21.79552529,NA,t
sul22,8,68_1,76.6369623,NA,t
mphA18,8,69_1,23.02436054,NA,t
sul22,8,77_1,76.6369623,NA,t
eltA73,8,zSet2Negative_4,36.22578755,NA,t
stx23291,8,zSet2Negative_4,37.0917137,NA,t
stx23291,8,49_2,37.0917137,NA,t
eltA73,8,49_2,36.22578755,NA,t
Tsp19,8,51_2,20.14329318,NA,t
eltA73,8,52_2,36.22578755,NA,t
ipaH321,8,zSet2Negative_5,17.75498553,NA,t
aac6I6,8,55_2,21.79552529,NA,t
ipaH321,8,55_2,17.75498553,NA,t
eltA73,8,59_2,36.22578755,NA,t
gadph195,8,59_2,51.83009619,NA,t
chuA24,8,61_2,89.39378987,NA,t
aac6I123,8,62_2,3.769729822,4.230270178,y
sul22,8,63_2,76.6369623,NA,t
arpA19,8,63_2,1,7,n
arpA19,8,64_2,1,7,y
aac6I6,8,68_2,21.79552529,NA,t
ipaH321,8,zSet2Negative_7,17.75498553,NA,t
stx23291,8,72_2,37.0917137,NA,t
mcr64,8,72_2,12.80598684,NA,t
aadA57,8,73_2,23.95903573,NA,t
mphA18,8,76_2,23.02436054,NA,t
aadA57,8,76_2,23.95903573,NA,t
tetB43,8,70_2,79.58461952,NA,t
aac3VI23,8,zaggR_2,81.70276707,NA,t
dfrA15,8,zSet2PCRNeg_2,23067.879,NA,t
trpA354,7,48_1,75.21494574,NA,f
aadA57,7,51_1,23.95903573,NA,t
stx23291,7,52_1,37.0917137,NA,t
astA13,7,zSet2Negative_1,15.58254854,NA,t
aac3VI23,7,55_1,81.70276707,NA,t
mphA18,7,58_1,23.02436054,NA,t
mphA18,7,63_1,23.02436054,NA,t
aac6I6,7,65_1,21.79552529,NA,t
dfrA1,7,65_1,37.39168884,NA,t
gadph195,7,zSet2Negative_3,51.83009619,NA,t
aadA57,7,71_1,23.95903573,NA,t
sul22,7,72_1,76.6369623,NA,t
aadA57,7,73_1,23.95903573,NA,t
stx23291,7,76_1,37.0917137,NA,t
mphA18,7,zSet2Negative_4,23.02436054,NA,t
ipaH321,7,50_2,17.75498553,NA,t
aadA57,7,51_2,23.95903573,NA,t
eltA73,7,53_2,36.22578755,NA,t
aac6I6,7,53_2,21.79552529,NA,t
yjaA12,7,54_2,75.05504254,NA,t
ipaH321,7,54_2,17.75498553,NA,t
eltA73,7,54_2,36.22578755,NA,t
stx2181,7,zSet2Negative_5,14.58952727,NA,t
