X1,X2,n
457,aac3II63,2
457,aadA1,1
457,eltA4510,1
457,eae111,1
457,astA13,2
457,aadA21,1
457,aap223,1
457,tetM34,1
457,estIa94,1
458,sul22,1623
458,dfrA15,6727
458,aph6I29,4238
458,dfrA243,342
458,aadA57,5
458,qnrB7,856
458,dfrA58,153
458,sul15,121
458,ipaH921,183
458,invE132,225
458,bfpA82,152
458,stx1301,29
458,eltA73,16
458,sul336,64
458,eae6271,29
458,tetA13,104
458,mcr28,51
458,tetB43,28
458,aac3VI23,21
458,gadph195,22
458,ant2Ia1,41
458,dfrA369,173
458,aac6I6,3
458,aadA21,1
458,aap223,1
458,trpA354,19
458,yjaA12,23
458,stx11581,2
458,ipaH321,6
458,uidA616,10
458,mcr64,4
458,chuA24,17
458,stx23291,16
458,mphA18,5
458,Tsp19,3
458,aac6I123,2
458,dfrA1,4
458,astA13,2
458,qnrS1,1
458,aac3II63,1
458,aaiC17,2
458,stx2181,1
458,bfpF56,1
458,eae111,1
459,dfrA15,8857
459,dfrA369,246
459,trpA354,30
459,qnrB7,777
459,dfrA243,574
459,invE132,157
459,stx1301,51
459,bfpA82,207
459,sul22,35
459,ipaH921,263
459,dfrA58,211
459,aph6I29,732
459,tetA13,93
459,eae6271,53
459,eltA73,27
459,sul15,147
459,mcr28,143
459,gadph195,18
459,stx2181,7
459,tetB43,39
459,astA13,4
459,stx23291,13
459,ant2Ia1,59
459,yjaA12,29
459,sul336,99
459,chuA24,45
459,aadA1,4
459,aadA57,10
459,aac3VI23,21
459,mphA18,6
459,aap223,1
459,ipaH321,10
459,eae111,1
459,uidA616,15
459,mcr64,11
459,stx11581,2
459,aac6I123,2
459,aac3II63,2
459,dfrA1,3
459,aac6I6,3
459,aggR11,2
459,Tsp19,3
459,bfpF56,1
459,aaiC47,1
460,dfrA15,8273
460,dfrA58,208
460,qnrB7,768
460,dfrA243,548
460,aph6I29,759
460,dfrA369,159
460,sul336,70
460,mcr28,68
460,sul15,133
460,invE132,131
460,tetA13,115
460,ipaH921,257
460,chuA24,40
460,tetM34,2
460,stx23291,10
460,aac3VI23,35
460,eltA73,25
460,eae6271,32
460,uidA616,12
460,ant2Ia1,69
460,bfpA82,169
460,sul22,27
460,gadph195,23
460,aac6I123,2
460,aadA57,8
460,mcr64,7
460,yjaA12,41
460,stx1301,41
460,tetB43,25
460,dfrA1,2
460,ipaH321,7
460,trpA354,14
460,mphA18,2
460,aggR11,2
460,Tsp19,7
460,aadA1,2
460,aac6I6,4
460,astA13,3
460,qnrS1,1
460,aac3II63,1
460,ermB1,1
460,aaiC17,1
460,eae111,1
461,dfrA15,5320
461,aph6I29,525
461,bfpA82,122
461,ipaH921,132
461,dfrA243,246
461,qnrB7,650
461,dfrA369,171
461,gadph195,369
461,sul22,27
461,uidA616,10
461,dfrA58,95
461,trpA354,8
461,sul336,59
461,tetB43,27
461,tetA13,69
461,sul15,108
461,eae6271,26
461,invE132,72
461,ant2Ia1,27
461,mcr28,50
461,aac3VI23,22
461,Tsp19,4
461,aadA57,4
461,stx1301,27
461,aadA1,3
461,chuA24,10
461,yjaA12,13
461,stx23291,11
461,mphA18,4
461,eltA73,6
461,ipaH321,7
461,aac6I123,2
461,dfrA1,9
461,stx11581,2
461,stx2181,3
461,aap223,1
461,aac3II63,1
461,mcr64,3
461,aaiC47,1
461,qnrS1,2
462,aadA57,5
462,dfrA15,4314
462,sul15,85
462,gadph195,404
462,mcr28,34
462,qnrB7,555
462,dfrA369,130
462,tetA13,64
